date,       link,                  time, program,   solver,             puzzle, format
2025-05-06, 4OUG0LfjIMA,      11m 20.93s, MT,       ysinx,              klein_quartic, single
2025-05-07, PN5go8jVSz0,      11m 14.19s, MT,       nenri,              klein_quartic, single
2025-05-07, FE0KOepEBw4,      10m 46.87s, MT,       ysinx,              klein_quartic, single
2025-05-08, xHM0jKucHP8,       9m 52.17s, HSC,      cali,               3x3x3x3, single
2025-05-08, K9Jp1HccBAc,       4m 55.81s, MT,       ysinx,              dyck_map, single
2025-05-09, 2MP4WYRlGlo,      44m 39.25s, HSC,      nenri,              6x6x6x6, single
2025-05-10, 4fNFN3ueq04,       8m 15.31s, HSC,      cali,               3x3x3x3, single
2025-05-11, nxcedOvMAow,          18.17s, HSC,      bilal,              2x2x2x2, ao5
2025-05-12, YYZOv4lbeFY,       3m 40.83s, HSC,      vin,                3x3x3x3, single
2025-05-06, pKikaaFfgvk,  18h 09m 51.86s, MC7D,     nenri,              3x3x3x3x3x3, single
2025-05-13, BdNd3H6ILxw,       4m 21.99s, HSC,      nenri,              3x3x3x3, nf
2025-05-14, BV5dDAwhIVg,       4m 15.84s, HSC,      nenri,              3x3x3x3, nf
2025-05-15, tK7WyQPpSac,      16m 02.95s, HSC,      bilal,              4x4x4x4, single
2025-05-15, uHNGt8fNo8,       14m 41.68s, HSC,      bilal,              4x4x4x4, single
2025-05-18, EwivEMEhMBY,      44m 11.93s, HSC,      nenri,              6x6x6x6, single
2025-05-21, pZjWv2f8BOg,       3m 08.26s, HSC,      vin,                3x3x3x3, single
2025-05-21, N-BuIewwzyI,   1h 59m 26.13s, MC7D,     nenri,              3x3x3x3x3, single
2025-05-23, 3JOrL5F23pw,       2m 02.84s, HSC,      nenri,              3x3x3x3, ao5
2025-05-23, 3JOrL5F23pw&t=285s, 1m 51.44s, HSC,     nenri,              3x3x3x3, single
2025-05-24, uEl-IvIQGJQ,       1m 57.89s, HSC,      nenri,              3x3x3x3, ao5
2025-05-24, uEl-IvIQGJQ&t=503s, 1m 50.85s, HSC,     nenri,              3x3x3x3, single
2025-05-18, 6_Ckxd2NXpU,      14m 12.67s, HSC,      bilal,              4x4x4x4, single
2025-05-25, qfHt7ui8vN4&t=409s, 1m 48.53s, HSC,     nenri,              3x3x3x3, single
